Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
1999-03-12,1.0904,118.81,1.4665,1.6305,1.5236,0.6688,129.55,1.599,0.6363,193.72,81.02,2.3911,0
1999-03-15,1.0937,117.7,1.4652,1.6227,1.526,0.674,128.73,1.6025,0.628,191,80.33,2.3776,0
1999-03-16,1.1,117.71,1.4534,1.629,1.5276,0.6753,129.48,1.5987,0.6275,191.74,80.99,2.3676,0
1999-03-17,1.1004,118.01,1.4513,1.6303,1.5211,0.675,129.86,1.597,0.6273,192.39,81.31,2.3661,0
1999-03-18,1.0971,117.43,1.4581,1.6295,1.5174,0.6733,128.83,1.5997,0.6284,191.35,80.54,2.376,0
1999-03-19,1.0886,117.23,1.4676,1.6281,1.5155,0.6688,127.65,1.598,0.6298,190.85,79.88,2.3894,0
1999-03-22,1.0915,118.08,1.4623,1.6283,1.5037,0.6703,128.89,1.5961,0.6356,192.27,80.75,2.3811,0
1999-03-23,1.091,118,1.4593,1.638,1.507,0.6661,128.74,1.5921,0.6401,193.29,80.86,2.3903,0
1999-03-24,1.0892,117.96,1.4635,1.6356,1.5077,0.6659,128.84,1.594,0.6384,192.93,80.6,2.3936,0
1999-03-25,1.0906,118.09,1.4713,1.6237,1.5076,0.6674,127.96,1.5943,0.6374,191.74,80.26,2.389,0
1999-03-26,1.0767,120.25,1.4796,1.6233,1.5142,0.6633,129.84,1.5931,0.6346,195.21,81.27,2.4018,0
1999-03-29,1.0739,120.12,1.4838,1.6165,1.5138,0.6643,128.99,1.5935,0.6316,194.17,80.95,2.3986,0
1999-03-30,1.0717,120.3,1.4905,1.6123,1.5116,0.6647,128.93,1.5973,0.6259,193.97,80.72,2.4031,0
1999-03-31,1.0757,119.01,1.4828,1.6116,1.5087,0.6675,128.02,1.5955,0.6352,191.8,80.24,2.3904,0
1999-04-01,1.0789,120.48,1.4799,1.6034,1.4984,0.6729,129.98,1.5966,0.6352,193.17,81.41,2.3728,0
1999-04-02,1.0782,120.43,1.481,1.6035,1.496,0.6724,129.85,1.5968,0.6342,193.1,81.32,2.3748,0
1999-04-05,1.0711,121.82,1.4893,1.6001,1.5025,0.6694,130.49,1.5952,0.631,194.93,81.8,2.3831,0
1999-04-06,1.0842,120.72,1.473,1.591,1.5027,0.6815,130.88,1.597,0.6295,192.06,81.95,2.3436,0
1999-04-07,1.0774,121.33,1.4819,1.5951,1.4993,0.6754,130.72,1.5965,0.627,193.54,81.87,2.3637,0
1999-04-08,1.0744,121.39,1.4856,1.6048,1.5001,0.6695,130.42,1.5961,0.6254,194.81,81.71,2.3841,0
1999-04-09,1.0802,120.91,1.4823,1.6091,1.5003,0.6713,130.61,1.6012,0.6319,194.56,81.57,2.3851,0
1999-04-12,1.0823,120.18,1.4844,1.6136,1.4936,0.6727,130.07,1.6065,0.6358,193.61,80.96,2.3952,0
1999-04-13,1.0769,119.8,1.4909,1.6157,1.4905,0.6665,129.01,1.6056,0.636,193.56,80.35,2.4089,0
1999-04-14,1.0797,118.62,1.4849,1.6109,1.4938,0.6702,128.07,1.6033,0.6356,191.09,79.89,2.3921,0
1999-04-15,1.0703,118.79,1.4979,1.6095,1.4885,0.6651,127.17,1.6035,0.6439,191.2,79.3,2.4109,0
1999-04-16,1.07,117.75,1.4956,1.6135,1.479,0.6635,126,1.6013,0.647,190,78.51,2.4146,0
1999-04-19,1.0633,117.57,1.5067,1.6104,1.4855,0.6603,125.01,1.602,0.6514,189.33,78.03,2.4263,0
1999-04-20,1.0627,118.85,1.5069,1.6098,1.4905,0.6601,126.31,1.6014,0.6472,191.33,78.87,2.4258,0
1999-04-21,1.0619,119.73,1.5077,1.6066,1.4874,0.661,127.16,1.6012,0.6467,192.36,79.41,2.4223,0
1999-04-22,1.0616,119.5,1.5088,1.6144,1.4814,0.6573,126.87,1.6017,0.6517,192.93,79.21,2.4358,0
1999-04-23,1.0612,119.37,1.5111,1.6145,1.4757,0.6573,126.68,1.6035,0.6525,192.73,79,2.4396,0
1999-04-26,1.0586,119.27,1.514,1.6121,1.4757,0.6567,126.26,1.6027,0.6497,192.27,78.78,2.4408,0
1999-04-27,1.0665,120.37,1.5082,1.619,1.4791,0.6587,128.38,1.6085,0.6511,194.88,79.81,2.4417,0
1999-04-28,1.0623,119.23,1.5132,1.6135,1.4772,0.6584,126.66,1.6074,0.6545,192.38,78.8,2.4415,0
1999-04-29,1.0591,119.01,1.5212,1.6081,1.4663,0.6586,126.04,1.6111,0.6596,191.38,78.23,2.4462,0
1999-04-30,1.0584,119.39,1.5224,1.6093,1.4585,0.6577,126.37,1.6113,0.6619,192.14,78.43,2.45,0
1999-05-03,1.0577,120.29,1.5234,1.6093,1.4479,0.6572,127.23,1.6113,0.6645,193.58,78.96,2.4517,0
1999-05-04,1.0633,120.83,1.5112,1.6294,1.4531,0.6526,128.48,1.6069,0.6604,196.88,79.96,2.4624,0
1999-05-05,1.0744,120.61,1.4943,1.6376,1.451,0.6561,129.58,1.6054,0.6634,197.5,80.71,2.447,0
1999-05-06,1.0815,120.44,1.4868,1.6415,1.4545,0.6588,130.26,1.608,0.6703,197.7,81.01,2.4406,0
1999-05-07,1.075,120.83,1.4966,1.6309,1.4567,0.6591,129.89,1.6088,0.6728,197.06,80.74,2.4407,0
1999-05-10,1.08,120.51,1.4904,1.6261,1.4592,0.6642,130.15,1.6096,0.6663,195.96,80.86,2.4235,0
1999-05-11,1.0715,120.95,1.501,1.6235,1.4535,0.66,129.59,1.6083,0.6695,196.34,80.57,2.4367,0
1999-05-12,1.0649,120.91,1.506,1.6175,1.4596,0.6584,128.76,1.6037,0.6665,195.57,80.29,2.4359,0
1999-05-13,1.0666,121.82,1.5025,1.6208,1.4588,0.6581,129.94,1.6025,0.667,197.45,81.08,2.4352,0
1999-05-14,1.0652,122.75,1.5058,1.6186,1.4637,0.6581,130.75,1.6039,0.6646,198.68,81.52,2.4372,0
1999-05-17,1.0669,123.43,1.5031,1.6184,1.459,0.6592,131.69,1.6036,0.6656,199.76,82.12,2.4326,0
1999-05-18,1.0686,123.18,1.4995,1.6239,1.4639,0.658,131.6,1.601,0.6702,200.03,82.2,2.4334,0
1999-05-19,1.0659,124.33,1.5039,1.6171,1.4674,0.6592,132.52,1.6028,0.6609,201.05,82.68,2.4316,0
1999-05-20,1.0631,124.37,1.5085,1.607,1.466,0.6615,132.22,1.6036,0.6602,199.87,82.41,2.4242,0
1999-05-21,1.0579,124,1.5169,1.601,1.4607,0.6608,131.18,1.6048,0.6577,198.52,81.74,2.4286,0
1999-05-24,1.0592,123.2,1.5124,1.5962,1.4545,0.6636,130.49,1.6019,0.6596,196.65,81.46,2.4141,0
1999-05-25,1.0593,122.8,1.5046,1.6015,1.4655,0.6614,130.09,1.5938,0.6514,196.67,81.62,2.4096,0
1999-05-26,1.0468,122.07,1.5219,1.5965,1.4724,0.6557,127.78,1.5932,0.6479,194.88,80.21,2.4298,0
1999-05-27,1.0441,120.39,1.5241,1.5997,1.4755,0.6527,125.7,1.5913,0.6491,192.59,78.99,2.4381,0
1999-05-28,1.0401,121.45,1.5302,1.6013,1.4739,0.6495,126.32,1.5915,0.6521,194.48,79.37,2.4502,0
1999-05-31,1.042,121.6,1.5275,1.6025,1.473,0.6502,126.71,1.5917,0.649,194.86,79.61,2.4478,0
1999-06-01,1.0448,120.56,1.524,1.6122,1.4836,0.6481,125.96,1.5923,0.6438,194.37,79.11,2.4571,0
1999-06-02,1.0348,121.33,1.5372,1.6049,1.4798,0.6448,125.55,1.5906,0.644,194.72,78.93,2.467,0
1999-06-03,1.0325,121.65,1.5401,1.6064,1.4759,0.6427,125.6,1.5902,0.6491,195.41,78.99,2.474,0
1999-06-04,1.0373,122.25,1.532,1.611,1.4699,0.6439,126.8,1.5891,0.6586,196.94,79.79,2.468,0
1999-06-07,1.0284,120.77,1.5435,1.6003,1.4687,0.6426,124.2,1.5874,0.6599,193.27,78.24,2.4701,0
1999-06-08,1.0458,118.89,1.5231,1.605,1.4715,0.6516,124.34,1.5928,0.658,190.82,78.06,2.4445,0
1999-06-09,1.0471,118.89,1.5228,1.6032,1.4731,0.6532,124.5,1.5947,0.6588,190.61,78.08,2.4413,0
1999-06-10,1.0482,118.85,1.5224,1.6055,1.4628,0.6529,124.58,1.5958,0.6621,190.82,78.07,2.4442,0
1999-06-11,1.0542,118.07,1.5142,1.6178,1.4616,0.6516,124.47,1.5962,0.6649,191.02,77.98,2.4496,0
1999-06-14,1.0422,120.6,1.5302,1.607,1.4603,0.6485,125.69,1.5948,0.6638,193.81,78.81,2.459,0
1999-06-15,1.0422,120.4,1.5311,1.5929,1.4621,0.6543,125.48,1.5957,0.6577,191.78,78.63,2.4389,0
1999-06-16,1.0313,120.27,1.5468,1.5884,1.4593,0.6493,124.04,1.5952,0.6569,191.04,77.76,2.4569,0
1999-06-17,1.0342,119.16,1.5427,1.5928,1.464,0.6493,123.24,1.5954,0.6575,189.8,77.25,2.4571,0
1999-06-18,1.0387,120.39,1.538,1.5963,1.4642,0.6507,125.05,1.5976,0.6517,192.18,78.28,2.4552,0
1999-06-21,1.0348,122.47,1.5426,1.5919,1.4711,0.65,126.72,1.5961,0.6492,194.95,79.39,2.4557,0
1999-06-22,1.0323,121.68,1.5462,1.5899,1.4711,0.6493,125.61,1.5961,0.6539,193.45,78.7,2.4582,0
1999-06-23,1.0328,121.7,1.5468,1.5806,1.4718,0.6534,125.89,1.5975,0.6581,192.66,78.8,2.4448,0
1999-06-24,1.0408,121.83,1.5358,1.5886,1.4719,0.6552,126.8,1.5984,0.6586,193.54,79.33,2.4397,0
1999-06-25,1.0431,121.4,1.5326,1.5874,1.465,0.6571,126.64,1.5986,0.6619,192.72,79.22,2.4328,0
1999-06-28,1.0361,121.19,1.5435,1.5823,1.4686,0.6542,125.45,1.5995,0.6578,191.76,78.43,2.4451,0
1999-06-29,1.0335,121.08,1.5506,1.5747,1.478,0.6563,125.14,1.6025,0.6566,190.67,78.09,2.4417,0
1999-06-30,1.034,121.11,1.5497,1.5781,1.4656,0.6552,125.23,1.6024,0.6659,191.12,78.15,2.4455,0
1999-07-01,1.0233,120.78,1.569,1.5731,1.4718,0.6505,123.59,1.6055,0.6681,189.99,76.9,2.4681,0
1999-07-02,1.0245,121.08,1.5677,1.5793,1.4631,0.6487,124.04,1.6061,0.669,191.22,77.23,2.4758,0
1999-07-05,1.0225,122.4,1.57,1.5695,1.467,0.649,125.15,1.605,0.666,192.65,77.96,2.4725,0
1999-07-06,1.0234,122,1.5664,1.5621,1.4707,0.6551,124.85,1.603,0.663,190.57,77.88,2.4468,0
1999-07-07,1.0227,122.18,1.5687,1.5619,1.4694,0.6548,124.95,1.6043,0.6686,190.83,77.88,2.4502,0
1999-07-08,1.021,122.61,1.5718,1.5589,1.4721,0.6549,125.19,1.6049,0.6659,191.14,78.01,2.4504,0
1999-07-09,1.0174,122.4,1.5793,1.5479,1.4734,0.6573,124.43,1.6068,0.6657,189.46,77.5,2.4447,0
1999-07-12,1.0156,122.15,1.5807,1.5578,1.4787,0.6519,124.05,1.6054,0.6615,190.28,77.27,2.4624,0
1999-07-13,1.0173,121.33,1.5775,1.5575,1.4822,0.6532,123.42,1.6048,0.6585,188.96,76.91,2.457,0
1999-07-14,1.0212,120.59,1.5728,1.5637,1.4807,0.6531,123.15,1.6062,0.6573,188.57,76.67,2.4595,0
1999-07-15,1.0207,120.83,1.5742,1.5656,1.4823,0.652,123.33,1.6068,0.6609,189.17,76.76,2.4645,0
1999-07-16,1.0196,120.98,1.5759,1.5627,1.4833,0.6525,123.36,1.6068,0.6606,189.06,76.77,2.4627,0
1999-07-19,1.0301,117.79,1.5579,1.5809,1.49,0.6516,121.33,1.6048,0.6492,186.21,75.61,2.4629,0
1999-07-20,1.0413,118.89,1.5417,1.569,1.4912,0.6637,123.8,1.6054,0.6447,186.54,77.12,2.4189,0
1999-07-21,1.0523,118.15,1.5262,1.5779,1.4998,0.6669,124.33,1.606,0.6453,186.43,77.42,2.4081,0
1999-07-22,1.0523,116.61,1.5265,1.5847,1.5075,0.664,122.71,1.6063,0.6469,184.8,76.39,2.419,0
1999-07-23,1.0514,116.55,1.5272,1.5781,1.5075,0.6662,122.56,1.6057,0.6489,183.93,76.32,2.4101,0
1999-07-26,1.0661,116.62,1.5047,1.5901,1.5093,0.6705,124.33,1.6042,0.647,185.44,77.5,2.3927,0
1999-07-27,1.0621,116.34,1.506,1.5904,1.5134,0.6678,123.56,1.5995,0.6444,185.02,77.25,2.3951,0
1999-07-28,1.0662,116.08,1.4995,1.5977,1.506,0.6673,123.76,1.5988,0.646,185.46,77.41,2.3958,0
1999-07-29,1.0726,115.46,1.488,1.6178,1.5059,0.663,123.84,1.596,0.6505,186.79,77.59,2.4073,0
1999-07-30,1.0707,114.53,1.4899,1.6224,1.5045,0.6599,122.63,1.5952,0.6517,185.82,76.88,2.4171,0
1999-08-02,1.0689,114.26,1.495,1.6175,1.505,0.6608,122.13,1.598,0.6501,184.81,76.43,2.4181,0
1999-08-03,1.0686,115.3,1.4972,1.6203,1.4932,0.6595,123.21,1.5999,0.6549,186.83,77.01,2.4259,0
1999-08-04,1.0775,114.36,1.4951,1.6223,1.4901,0.6642,123.22,1.6002,0.6591,185.52,77,2.4093,0
1999-08-05,1.0758,114.31,1.4874,1.6129,1.4965,0.667,122.97,1.6002,0.6538,184.37,76.85,2.3991,0
1999-08-06,1.0759,114.75,1.4878,1.6112,1.5039,0.6678,123.46,1.6007,0.6525,184.89,77.13,2.3971,0
1999-08-09,1.0706,115.21,1.4958,1.6064,1.5029,0.6665,123.35,1.6015,0.653,185.08,77.02,2.4029,0
1999-08-10,1.071,114.87,1.496,1.6147,1.4991,0.6633,123.02,1.6022,0.6507,185.47,76.78,2.4155,0
1999-08-11,1.0657,115.37,1.5034,1.6107,1.4868,0.6616,122.95,1.6021,0.6491,185.82,76.74,2.4215,0
1999-08-12,1.0666,115.58,1.5011,1.6123,1.4861,0.6615,123.28,1.601,0.6492,186.35,77,2.4202,0
1999-08-13,1.0567,115.75,1.5101,1.6057,1.4758,0.6581,122.31,1.602,0.6523,185.86,76.35,2.4342,0
1999-08-16,1.0568,114.7,1.5157,1.6013,1.4838,0.66,121.22,1.6018,0.6501,183.67,75.68,2.427,0
1999-08-17,1.0513,114.03,1.523,1.6038,1.4788,0.6555,119.88,1.6012,0.6488,182.88,74.87,2.4427,0
1999-08-18,1.0528,111.98,1.5197,1.6026,1.483,0.6569,117.9,1.6,0.6467,179.46,73.69,2.4355,0
1999-08-19,1.0633,111.39,1.5035,1.6184,1.4934,0.657,118.44,1.5986,0.6347,180.27,74.09,2.4332,0
1999-08-20,1.0669,111.28,1.4966,1.6146,1.4959,0.6608,118.73,1.5957,0.636,179.68,74.41,2.4149,0
1999-08-23,1.0502,111.44,1.5238,1.6021,1.4989,0.6555,117.04,1.6003,0.6356,178.54,73.14,2.4413,0
1999-08-24,1.0531,110.77,1.5192,1.5943,1.495,0.6605,116.66,1.5999,0.6349,176.61,72.92,2.4221,0
1999-08-25,1.0424,111.11,1.5327,1.5852,1.4973,0.6576,115.82,1.6024,0.6315,176.16,72.28,2.4368,0
1999-08-26,1.0448,111.57,1.5335,1.5881,1.5011,0.6579,116.56,1.6022,0.6309,177.18,72.76,2.4353,0
1999-08-27,1.0459,111.58,1.5313,1.5879,1.489,0.6587,116.7,1.6015,0.6322,177.18,72.87,2.4315,0
1999-08-30,1.0461,110.72,1.5305,1.5893,1.4932,0.6582,115.82,1.601,0.6337,175.97,72.34,2.4324,0
1999-08-31,1.0577,109.59,1.5131,1.6065,1.4936,0.6582,115.91,1.6004,0.6401,176.05,72.43,2.4308,0
1999-09-01,1.0594,109.05,1.5117,1.6062,1.4893,0.6596,115.53,1.6015,0.6387,175.15,72.13,2.4281,0
1999-09-02,1.069,109.2,1.4935,1.606,1.4945,0.6645,116.7,1.5965,0.6444,175.55,73.1,2.3985,0
1999-09-03,1.0615,110.05,1.506,1.6035,1.4925,0.6615,116.8,1.5985,0.6465,176.55,73.1,2.4149,0
1999-09-06,1.058,109.55,1.511,1.606,1.4905,0.6589,115.95,1.599,0.6445,176.31,72.55,2.4235,0
1999-09-07,1.059,110.85,1.51,1.605,1.491,0.6598,117.39,1.5991,0.6492,177.91,73.41,2.4336,0
1999-09-08,1.0594,111.09,1.5103,1.6193,1.4885,0.6542,117.68,1.6001,0.6483,179.88,73.55,2.4457,0
1999-09-09,1.0537,107.88,1.5192,1.6349,1.4786,0.6445,113.67,1.6007,0.6538,176.38,71.01,2.4837,0
1999-09-10,1.0357,108.84,1.5525,1.6185,1.4758,0.6399,112.73,1.6079,0.6514,176.16,70.11,2.5127,0
1999-09-13,1.0414,106.47,1.542,1.6083,1.4696,0.6475,110.88,1.6058,0.6566,171.24,69.05,2.4799,0
1999-09-14,1.0355,105.83,1.5483,1.6077,1.4746,0.6441,109.58,1.6033,0.6518,170.14,68.35,2.4892,0
1999-09-15,1.0396,104.24,1.5433,1.6147,1.4756,0.6438,108.37,1.6044,0.6491,168.32,67.54,2.492,0
1999-09-16,1.0406,105.17,1.5423,1.6234,1.4763,0.6409,109.44,1.6049,0.646,170.77,68.19,2.5042,0
1999-09-17,1.0413,106.92,1.5415,1.6231,1.471,0.6416,111.34,1.6052,0.648,173.55,69.36,2.502,0
1999-09-20,1.0385,106.37,1.5474,1.6207,1.4779,0.6408,110.47,1.607,0.6412,172.4,68.74,2.5079,0
1999-09-21,1.0485,104.85,1.5285,1.631,1.4754,0.6429,109.94,1.6027,0.6475,171.02,68.6,2.4931,0
1999-09-22,1.0446,103.99,1.5364,1.628,1.4701,0.6416,108.63,1.6049,0.6513,169.3,67.69,2.5013,0
1999-09-23,1.0439,104.11,1.5363,1.64,1.4715,0.6375,108.78,1.6039,0.6495,170.65,67.93,2.512,0
1999-09-24,1.0452,104.1,1.5321,1.6432,1.474,0.6361,108.81,1.6014,0.6517,171.06,67.94,2.5176,0
1999-09-27,1.0474,105.92,1.5292,1.6472,1.4706,0.6359,110.94,1.6017,0.653,174.48,69.27,2.5189,0
1999-09-28,1.0547,106.11,1.5174,1.6502,1.4612,0.6391,111.91,1.6004,0.6574,175.1,69.93,2.5039,0
1999-09-29,1.0638,106.99,1.5043,1.6439,1.4649,0.6471,113.81,1.6003,0.6537,175.88,71.12,2.4729,0
1999-09-30,1.067,106.39,1.4977,1.6463,1.4675,0.6481,113.52,1.5981,0.6529,175.16,71.04,2.4657,0
1999-10-01,1.0739,104.93,1.4797,1.6543,1.4771,0.6492,112.68,1.589,0.656,173.59,70.91,2.4478,0
1999-10-04,1.0739,106.2,1.4828,1.656,1.4698,0.6485,114.07,1.5924,0.6629,175.86,71.62,2.4556,0
1999-10-05,1.0753,106.49,1.4788,1.6578,1.4725,0.6486,114.58,1.5901,0.6618,176.53,72.01,2.4515,0
1999-10-06,1.0691,107.53,1.4883,1.6563,1.4688,0.6455,114.96,1.5911,0.6606,178.1,72.25,2.4651,0
1999-10-07,1.0718,107.44,1.4875,1.6522,1.4725,0.6483,115.07,1.5933,0.6597,177.51,72.23,2.4577,0
1999-10-08,1.0613,107.42,1.5021,1.6505,1.474,0.643,114,1.5953,0.6542,177.29,71.46,2.4809,0
1999-10-11,1.064,106.85,1.5005,1.6525,1.473,0.643,113.65,1.596,0.6542,177.6,71.2,2.4787,0
1999-10-12,1.0759,106.32,1.4802,1.6571,1.4743,0.6493,114.39,1.5926,0.6558,176.18,71.83,2.4529,0
1999-10-13,1.0789,106.57,1.4741,1.6553,1.4819,0.6518,114.97,1.5904,0.6471,176.4,72.79,2.4401,0
1999-10-14,1.079,107.3,1.4735,1.6643,1.4813,0.6483,115.78,1.5899,0.6488,178.58,72.82,2.4524,0
1999-10-15,1.0896,105.31,1.4566,1.671,1.4883,0.6521,114.74,1.5871,0.646,175.97,72.3,2.4339,0
1999-10-18,1.0841,105.1,1.4647,1.6686,1.4955,0.6497,113.94,1.5879,0.6442,175.37,71.76,2.444,0
1999-10-19,1.0839,105.21,1.4668,1.6724,1.4913,0.6481,114.04,1.5899,0.6475,175.96,71.73,2.4531,0
1999-10-20,1.0742,106.49,1.4826,1.6632,1.4873,0.6459,114.39,1.5926,0.6465,177.12,71.83,2.4659,0
1999-10-21,1.082,105.87,1.4717,1.6767,1.4816,0.6453,114.56,1.5923,0.648,177.52,71.94,2.4675,0
1999-10-22,1.0669,105.99,1.4996,1.6569,1.4768,0.6439,113.08,1.5999,0.6489,175.61,70.68,2.4847,0
1999-10-25,1.0662,105.33,1.4985,1.6633,1.4717,0.641,112.3,1.5977,0.6513,175.19,70.29,2.4924,0
1999-10-26,1.0585,104.7,1.5122,1.6531,1.4745,0.6403,110.83,1.6006,0.6499,173.08,69.24,2.4998,0
1999-10-27,1.05,104.4,1.5236,1.6443,1.472,0.6386,109.62,1.5998,0.6441,171.66,68.52,2.5052,0
1999-10-28,1.0522,105.12,1.5233,1.6382,1.4737,0.6429,110.6,1.6028,0.6453,172.2,69.01,2.4955,0
